Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
43884,"Phantom (Sword of Truth, #10)",Terry Goodkind,"Goodkind, Terry",,"=""0765305240""","=""9780765305244""",3,3.99,Tor Books,Hardcover,587,2006,2006,2012/12/28,2014/02/24,,,read,,,,1,,,0,,,,,
604803,"Confessor (Sword of Truth, #11)",Terry Goodkind,"Goodkind, Terry",,"=""0765315238""","=""9780765315236""",3,4.08,Tor Books,Hardcover,603,2007,2007,2012/12/29,2014/02/24,,,read,,,,1,,,0,,,,,
19477973,"Severed Souls (Sword of Truth, #14; Richard and Kahlan, #3)",Terry Goodkind,"Goodkind, Terry",,"=""0765327740""","=""9780765327741""",0,3.87,Tor Books,Hardcover,560,2014,2014,,2014/02/24,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
17317908,"The Third Kingdom (Sword of Truth, #13; Richard and Kahlan, #2)",Terry Goodkind,"Goodkind, Terry",,"=""0007303718""","=""9780007303717""",0,3.84,Harper Voyager,Hardcover,527,2013,2012,,2014/02/24,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
8598554,"The Omen Machine (Sword of Truth, #12; Richard and Kahlan, #1)",Terry Goodkind,"Goodkind, Terry",,"=""038566740X""","=""9780385667401""",0,3.67,Doubleday Canada,Hardcover,528,2011,2011,,2014/02/24,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
4968078,Glimmers: Prologue to Crossroads of Twilight (Wheel of Time),Robert Jordan,"Jordan, Robert",,"=""""","=""""",0,4.16,,Kindle Edition,107,,2002,,2014/02/24,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
8675071,"The Strike at Shayol Ghul (The Wheel of Time, #0.1)",Robert Jordan,"Jordan, Robert",,"=""""","=""""",0,3.90,,Online,7,1996,1996,,2014/02/24,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
187065,"New Spring (The Wheel of Time, #0)",Robert Jordan,"Jordan, Robert",,"=""1841492612""","=""9781841492612""",5,4.04,Orbit,Paperback,423,2004,2004,2006/01/01,2014/02/24,,,read,,,,1,,,0,,,,,
14891,A Tree Grows in Brooklyn,Betty  Smith,"Smith, Betty",,"=""0061120073""","=""9780061120077""",4,4.26,HarperCollins Publishers,Paperback,496,2006,1943,2013/05/01,2014/02/24,,,read,,,,1,,,0,,,,,
6442769,Paper Towns,John Green,"Green, John",,"=""014241493X""","=""9780142414934""",3,3.82,Speak,Paperback,305,2009,2008,2013/06/01,2014/02/24,,,read,,,,1,,,0,,,,,
99561,Looking for Alaska,John Green,"Green, John",,"=""0142402516""","=""9780142402511""",4,4.04,Speak,Paperback,221,2006,2005,2013/06/13,2014/02/24,,,read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.22,Dutton Books,Hardcover,313,2012,2012,2013/06/01,2014/02/24,,,read,,,,1,,,0,,,,,
49750,An Abundance of Katherines,John Green,"Green, John",,"=""0525476881""","=""9780525476887""",4,3.59,Dutton Books for Young Readers,Hardcover,229,2006,2006,2013/06/01,2014/02/24,,,read,,,,1,,,0,,,,,
16700365,"Wild Cards (Wild Cards, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0575134119""","=""9780575134119""",4,3.70,Gollancz,Paperback,567,2012,1986,2013/07/17,2014/02/24,,,read,,,,1,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",1,4.34,Doubleday Books,Hardcover,1153,1990,1978,2013/01/01,2014/02/24,,,read,,,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",4,3.84,Doubleday,Hardcover,463,2013,2013,2013/07/01,2014/02/24,,,read,,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.54,Penguin Group DAW,Hardcover,662,2007,2007,2013/07/28,2014/02/24,,,read,,,,1,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",5,4.57,DAW Books,Hardcover,994,2011,2011,2013/07/29,2014/02/24,,,read,,,,1,,,0,,,,,
10394348,"Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""1423389441""","=""9781423389446""",0,3.79,Brilliance Audio,Audio CD,,,,,2014/02/24,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",4,3.97,William Morrow,Hardcover,320,2006,2005,2013/08/01,2014/02/24,,,read,,,,1,,,0,,,,,
147222,You Just Don't Understand: Women and Men in Conversation,Deborah Tannen,"Tannen, Deborah",,"=""0060959622""","=""9780060959623""",3,3.87,William Morrow Paperbacks,Paperback,352,2007,1990,2013/10/08,2014/02/24,,,read,GWISE bookclub,,,1,,,0,,,,,
18493689,Giving the Moon,Yoav Blum,"Blum, Yoav",,"=""1452841942""","=""9781452841946""",5,5.00,,ebook,164,2010,2010,2013/10/04,2014/02/24,,,read,,,,1,,,0,,,,,
938544,"Toll the Hounds (Malazan Book of the Fallen, #8)",Steven Erikson,"Erikson, Steven",,"=""0765310082""","=""9780765310088""",4,4.35,Tor Books,Hardcover,829,2008,2008,2014/01/01,2014/02/24,,,read,,,,1,,,0,,,,,
55401,"Deadhouse Gates (Malazan Book of the Fallen, #2)",Steven Erikson,"Erikson, Steven",Minos Hubert,"=""0765310023""","=""9780765310026""",5,4.25,Tor Books,Hardcover,604,2005,2000,2013/11/09,2014/02/24,,,read,,,,1,,,0,,,,,
